fdate,cusip,fundno,shares
20110930,59001A10,12,215410
20110930,59162N10,12,198800
20110930,59268810,12,33870
20110930,61536910,12,138970
20110930,65548P40,12,540650
20110930,72303310,12,3698300
20110930,74586710,12,906200
20110930,75008610,12,123940
20110930,77829610,12,150880
20110930,79466L30,12,45190
20110930,79546E10,12,508970
20110930,81373C10,12,617200
20110930,82481R10,12,109400
20110930,82509W10,12,609200
20110930,83083J10,12,272285
20110930,83421A10,12,172020
20110930,86880Y10,12,327300
20110930,87377N20,12,750100
20110930,87819P10,12,152860
20110930,87971M10,12,132400
20110930,87974D10,12,425500
20110930,88706M10,12,838313
20110930,89116050,12,116600
20110930,89156V10,12,523500
20110930,89620H10,12,102500
20110930,89903T10,12,32360
20110930,91911K10,12,230462
20110930,92276F10,12,165100
20110930,93114210,12,759750
20110930,96683710,12,140370
20110930,G1625210,12,539599
20110930,M2246510,12,153805
20111231,00194010,12,298500
20111231,01626P40,12,734100
20111231,03783310,12,19190
20111231,12589610,12,377900
20111231,13637510,12,180600
20111231,14042M10,12,193800
20111231,15118Q10,12,504800
20111231,17245410,12,304800
20111231,17275R10,12,421310
20111231,23331A10,12,405920
20111231,24702R10,12,1000940
20111231,25667710,12,293520
20111231,26138E10,12,195660
20111231,26938810,12,14330500
20111231,29184340,12,191200
20111231,36112J10,12,244620
20111231,38141G10,12,81160
20111231,38238810,12,224260
20111231,39945C10,12,2352200
20111231,45567S10,12,163700
20111231,45823T10,12,233400
20111231,46625H10,12,539800
20111231,53578A10,12,91080
20111231,53948110,12,1007600
20111231,56501R10,12,3662420
20111231,58933Y10,12,204690
20111231,59001A10,12,249030
20111231,59162N10,12,198800
20111231,59268810,12,76150
20111231,59491810,12,1180380
20111231,61536910,12,222740
20111231,61744644,12,502850
20111231,62009710,12,604210
20111231,65548P40,12,1100100
20111231,71708110,12,535080
20111231,72303310,12,3058100
20111231,74586710,12,903000
20111231,75008610,12,93940
20111231,77829610,12,366380
20111231,77992110,12,595100
20111231,79546E10,12,602280
20111231,82481R10,12,116900
20111231,82509W10,12,477700
20111231,85472N10,12,264100
20111231,86679610,12,904200
20111231,87377N20,12,869600
20111231,88706M10,12,777013
20111231,89156V10,12,312900
20111231,89353D10,12,530300
20111231,93114210,12,508740
20111231,96683710,12,173600
20111231,M2246510,12,76005
